charger_id,station_name,address,city,state,latitude,longitude,x_projected,y_projected,level,plug_power_kw,plug_count,ev_network,connector_types,facility_type
l2_DC_0115,531710  650 Massachusetts Ave NW,650 Massachusetts Ave NW,Washington,DC,38.899413,-77.024307,397891.2342,136840.4032,L2,7.2,6,Blink Network,J1772,
l2_DC_0116,600 Thirteenth,600 13th Street N.W.,Washington,DC,38.8976502,-77.0299233,397403.9872,136644.8636,L2,7.2,4,Blink Network,J1772,
l2_DC_0117,Garage 2B,"Parker Row SW, Washington, DC 20024",Washington,DC,38.8773729,-77.0213205,398149.7194,134393.7186,L2,7.2,4,Blink Network,J1772,
l2_DC_0118,700 Penn,700 Pennsylvania Avenue Southeast,Washington,DC,38.8850381,-76.9957982,400364.282,135244.4035,L2,7.2,1,Blink Network,J1772,
l2_DC_0119,1220 19th St,1220 19th Street Northwest,Washington,DC,38.906607,-77.0439431,396188.2988,137639.632,L2,7.2,2,Blink Network,J1772,
dcfc_DC_0004,CityCenterDC,830 9th St NW,Washington,DC,38.90014,-77.02415,397904.8746,136921.1023,DCFC,100,4,eVgo Network,CHADEMO J1772COMBO,
l2_DC_0120,Sheikh Zayed Campus (SZ),111 Michigan Avenue,Washington,DC,38.9271737,-77.014524,398740.3522,139921.8863,L2,7.2,17,Blink Network,J1772,
l2_DC_0121,1152 15th St NW,1152 15th St NW,Washington,DC,38.904943,-77.035223,396944.5707,137454.5863,L2,7.2,2,AMPUP,J1772,PARKING_GARAGE
l2_DC_0122,1700 NY Ave NW,1700 New York Ave NE,Washington,DC,38.91735,-76.97956,401772.3461,138831.4672,L2,7.2,2,AMPUP,J1772,OFFICE_BLDG
l2_DC_0123,2001 Penn Ave NW,2001 Pennsylvania Ave NW,Washington,DC,38.90152,-77.045258,396073.9691,137074.9904,L2,7.2,2,AMPUP,J1772,PARKING_GARAGE
l2_DC_0124,80 M St NW,80 M St NW,Washington,DC,38.905509,-77.011767,398979.0977,137516.892,L2,7.2,2,AMPUP,J1772,PARKING_GARAGE
l2_DC_0125,1615 L St,1615 L St NW,Washington,DC,38.903983,-77.037466,396749.9741,137348.0962,L2,7.2,4,AMPUP,J1772,PARKING_GARAGE
l2_DC_0126,350 Morse St,350 Morse St NE,Washington,DC,38.908829,-77.000326,399971.4578,137885.3724,L2,7.2,8,AMPUP,J1772,PARKING_GARAGE
l2_DC_0127,Hines - Columbia Square,555 13th St NW,Washington,DC,38.896954,-77.028774,397503.6604,136567.5479,L2,7.2,8,AMPUP,J1772,PARKING_GARAGE
l2_DC_0128,901 K St NW,901 K St NW,Washington,DC,38.902893,-77.025207,397813.2718,137226.7319,L2,7.2,8,AMPUP,J1772,PARKING_GARAGE
l2_DC_0129,500 Morse,500 Morse St NE,Washington,DC,38.907427,-76.998427,400136.166,137729.7399,L2,7.2,10,AMPUP,J1772,MULTI_UNIT_DWELLING
l2_DC_0130,One Parking,949 First St SE,Washington,DC,38.878881,-77.006186,399462.969,134560.9302,L2,7.2,10,AMPUP,J1772,MULTI_UNIT_DWELLING
l2_DC_0131,RockRose Dev Corp,2001 K St NW,Washington,DC,38.902942,-77.045393,396062.3378,137232.8494,L2,7.2,6,AMPUP,J1772,PARKING_GARAGE
l2_DC_0132,The Gantry,300 Morse St NE,Washington,DC,38.908325,-77.000427,399962.6973,137829.4244,L2,7.2,14,AMPUP,J1772,MULTI_UNIT_DWELLING
l2_DC_0133,WMATA HQ,300 7th St NW,Washington,DC,38.893963,-77.02249,398048.6984,136235.3702,L2,7.2,4,AMPUP,J1772,MUNI_GOV
l2_DC_0134,Knollwood Life Plan Community,"6200 Oregon Avenue, NW",Washington,DC,38.9709327,-77.0552771,395209.5729,144780.8757,L2,7.2,4,Blink Network,J1772,
l2_DC_0135,Hilton Garden Inn,2201 M St NW,Washington,DC,38.90562790037026,-77.04896501689177,395752.6612,137531.166,L2,7.2,2,Non-Networked,J1772,HOTEL
l2_DC_0136,1055 High Condominium,1055 Wisconsin Avenue Northwest,Washington,DC,38.9041479,-77.0627761,394554.6185,137367.6081,L2,7.2,1,Blink Network,J1772,
l2_DC_0137,1875 Pennsylvania Ave NW,1875 Pennsylvania Avenue Northwest,Washington,DC,38.9005059,-77.0425038,396312.8208,136962.3023,L2,7.2,1,Blink Network,J1772,
l2_DC_0138,1201-1225 New York Avenue SPE,"1201 New York Avenue, NW",Washington,DC,38.901252,-77.028574,397521.1603,137044.6542,L2,7.2,2,Blink Network,J1772,
l2_DC_0139,REEVES CANAL CANAL PARK 1,200 2nd PL St SE,Washington,DC,38.877744,-77.0031,399730.7345,134434.7009,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0140,REEVES CANAL CANAL PARK 2,200 2nd PL St SE,Washington,DC,38.877816,-77.003036,399736.2881,134442.6932,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0141,REEVES CANAL REEVES CENTER,2000 14th St NW,Washington,DC,38.917572,-77.032484,397182.6469,138856.4193,L2,7.2,2,ChargePoint Network,J1772,
